id,prompt_text,prompt_title,prompt_type,play_id,company_id,asset_id,created_at
rep-vel-002,Review safety and dosage.,Safety Protocols,watch,play-vel-001,comp-veldra-001,ast-vel-002,2024-01-01T08:06:00Z
rep-vel-003,Submit a video of yourself explaining the 3 key benefits of Amproxin.,Amproxin Pitch,practice,play-vel-001,comp-veldra-001,,2024-01-01T08:07:00Z
rep-vel-004,Learn how Zaloric (Lydrenex) works.,Zaloric MOA,watch,play-vel-002,comp-veldra-001,ast-vel-003,2024-01-05T08:05:00Z
rep-vel-005,Describe Zaloric as a muscle relaxant to a pharmacist.,Zaloric Pharmacy Pitch,practice,play-vel-002,comp-veldra-001,,2024-01-05T08:07:00Z
rep-vel-006,Pain portfolio competitor analysis.,Competitor Matrix,watch,play-vel-003,comp-veldra-001,ast-vel-004,2024-01-10T08:05:00Z
rep-vel-007,Handle a pricing objection regarding Veldra pain relief.,Objection Handling,practice,play-vel-003,comp-veldra-001,,2024-01-10T08:07:00Z
rep-aet-001,Explore Somnirel herbal base.,Herbal Benefits,watch,play-aet-001,comp-aetheris-002,ast-aet-001,2024-01-01T09:05:00Z
rep-aet-002,Read Somnirel patient case studies.,Case Studies,watch,play-aet-001,comp-aetheris-002,ast-aet-002,2024-01-01T09:06:00Z
rep-aet-003,Explain Somnirels efficacy in improving sleep cycles.,Sleep Cycle Pitch,practice,play-aet-001,comp-aetheris-002,,2024-01-01T09:07:00Z
rep-aet-004,Understand Nuvia (Lydrenex) calming effect.,Nuvia Overview,watch,play-aet-002,comp-aetheris-002,ast-aet-003,2024-01-06T09:05:00Z
rep-aet-005,Pitch Nuvia as a social anxiety solution to a psychiatrist.,Psychiatrist Pitch,practice,play-aet-002,comp-aetheris-002,,2024-01-06T09:07:00Z
rep-aet-006,Stress management and neuro-science.,Stress Science,watch,play-aet-003,comp-aetheris-002,ast-aet-004,2024-01-11T09:05:00Z
rep-aet-007,Provide a focus enhancer product pitch.,Focus Enhancer Pitch,practice,play-aet-003,comp-aetheris-002,,2024-01-11T09:07:00Z
rep-kyb-001,Read the GridMaster Hardware Blueprint.,GridMaster Specs,watch,play-kyb-001,comp-kyberon-003,ast-kyb-001,2024-03-01T10:00:00Z
rep-kyb-002,Pitch GridMaster to a Data Center Manager facing overheating issues.,Power Savings Pitch,practice,play-kyb-001,comp-kyberon-003,,2024-03-01T11:00:00Z
rep-kyb-003,Watch the K-Stream defense mechanism video.,Traffic Shield Video,watch,play-kyb-002,comp-kyberon-003,ast-kyb-002,2024-03-05T10:00:00Z
rep-kyb-004,Explain why the Vorex engine is required to protect hardware from visitor spikes.,Infrastructure Pitch,practice,play-kyb-002,comp-kyberon-003,,2024-03-05T11:00:00Z
rep-sen-001,Read the Lumina UX and Insight Guide.,Lumina Overview,watch,play-sen-001,comp-sentivue-004,ast-sen-001,2024-03-01T10:00:00Z
rep-sen-002,Present a Lumina dashboard demo for a marketing executive.,Insight Pitch,practice,play-sen-001,comp-sentivue-004,,2024-03-01T11:00:00Z
rep-sen-003,Watch the Sentilink integration walkthrough.,Insight Bridge Speed,watch,play-sen-002,comp-sentivue-004,ast-sen-002,2024-03-06T10:00:00Z
rep-sen-004,Demonstrate how Sentilink uses the Vorex engine to feed AI models in real-time.,AI Acceleration Pitch,practice,play-sen-002,comp-sentivue-004,,2024-03-06T11:00:00Z
